,V,A,D,text
32,0.44999999999999996,0.5,0.5,Parents act as role models of self-sufficiency instead of dependency.
33,0.5,0.5,0.5,Tax dollars that would have been spent on public assistance are saved.
34,0.35,0.35,0.6,You and I know that solutions to difficult problems don't just happen.
35,0.75,0.6,0.6,"At Goodwill, it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results I see every day:"
36,0.5,0.44999999999999996,0.55,A Goodwill staff member addresses a group of welfare recipients:
37,0.55,0.55,0.55,"November 15, 1996"
38,0.44999999999999996,0.55,0.6,"""You can get off welfare."
39,0.5,0.5,0.5825,I know you can...
40,0.55,0.55,0.55,"I did."""
41,0.44999999999999996,0.4,0.55,His job objectives call for him to do it in 30.
42,0.6675,0.6675,0.5825,"once his tears have subsided, he confirms what his classmates have already figured out: he just received a job offer -- his first in five years."
43,0.5425,0.4175,0.5,"Addressing a meeting at a neighborhood center, a Goodwill staff member tells the audience how Goodwill can help them find and keep jobs."
44,0.5425,0.4575,0.5,At the next corner he tells five more.
45,0.5,0.5,0.5,"In order to develop job skills, a man with some serious disabilities begins working in Goodwill's industrial division."
46,0.44999999999999996,0.55,0.55,He has no time to waste.
47,0.35,0.44999999999999996,0.44999999999999996,It takes a long time for him to gain the self-confidence to work elsewhere in the community.
48,0.625,0.5625,0.5625,"Eventually, he turns your support into a payoff for all of us."
49,0.5625,0.5,0.5625,He proudly leaves Goodwill to support himself.
50,0.5625,0.5625,0.625,These people and their successes are real.
51,0.5,0.5,0.5825,Neither do we.
52,0.5,0.4,0.55,Just like the respect we've earned from U.S. News & World Report.
53,0.55,0.5,0.55,"With the help of friends like you, Goodwill has continued to adapt our services to meet the human needs of our changing society."
54,0.5,0.375,0.5425,Real results.
55,0.5,0.55,0.5,A real difference in people's lives -- in all of our lives.
56,0.55,0.55,0.55,The people who can benefit most directly from your generosity have no time to waste.
57,0.6675,0.5825,0.5,Neither do the rest of us who feel the positive results of their success.
58,0.6,0.55,0.6,Your support helps provide real solutions.
59,0.5,0.5625,0.5,Please use the enclosed response card and envelope to give generously to Goodwill today.
60,0.55,0.5,0.5,"Sincerely,"
61,0.5,0.5,0.5,Jack Dustman Board Member and Former Chairman
62,0.625,0.5,0.625,We don't waste time as we are helping the community.
63,0.5,0.5,0.55,And we don't waste money.
64,0.55,0.44999999999999996,0.44999999999999996,"The gift that I am asking you to make will be used to continue our mission of helping people prepare for, find and keep jobs."
65,0.5,0.5,0.5,"In their December, 1995 review of the nation's best charities, U.S. News & World Report called Goodwill one of the five ""Standout Good Guys."""
66,0.6,0.55,0.55,"In the short while since Goodwill helped him find his job, Robert has learned to thoroughly clean a motel room in about 40 minutes."
67,0.5,0.5,0.55,"The magazine stated that Goodwill (as well as the other standouts) is ""uniquely effective, innovative or valuable."""
68,0.55,0.6,0.55,"While I appreciate U.S. News & World Report's endorsement, the true value of your support is measured by the way Goodwill takes on problems that affect all of us."
69,0.5,0.5,0.55,And there are a lot of people who face these challenges every day of their lives.
70,0.5,0.625,0.625,So our work must continue.
71,0.6,0.5,0.6,Everyone benefits from the work we do together.
72,0.5,0.5,0.5,Please continue our important partnership.
73,0.5,0.5,0.5,Support Goodwill with a generous donation today.
74,0.5,0.30000000000000004,0.5,"Sincerely,"
75,0.5,0.44999999999999996,0.5,James M. McClelland President
76,0.65,0.5,0.6,We've helped people break free of the welfare cycle.
77,0.5,0.35,0.44999999999999996,"December 10, 1996"
78,0.6675,0.5825,0.6675,We've found ways for people with disabilities to enter the workforce.
79,0.65,0.5,0.55,We've expanded Goodwill's proven methods to towns and neighborhoods where they are needed most.
80,0.55,0.5,0.5,"Of course, we've played different roles."
81,0.65,0.44999999999999996,0.6,You have helped make Goodwill's work possible with your previous support.
82,0.5,0.5,0.5,Dear Mailhouse donor reminder:
83,0.5,0.4,0.5,Goodwill has devised the programs that turned your investment into results.
84,0.6,0.65,0.6,Who has benefited from our partnership?
85,0.5,0.5,0.5,Everyone has.
86,0.6,0.44999999999999996,0.55,"When you and I help somebody find a job, one more person joins the ranks of tax payers, fewer tax dollars are spent on public assistance and businesses gain another consumer."
87,0.6,0.5,0.44999999999999996,You and I have done some important work together.
88,0.625,0.5,0.5625,"At last, he has found success in a job that he loves."
89,0.5,0.5,0.5,Now his goals are set on moving up in the company.
90,0.5825,0.5825,0.5825,"Every year, thousands of people come to Goodwill."
91,0.5,0.375,0.5,"Like Michael, they share two common characteristics."
92,0.5,0.44999999999999996,0.55,They face some barrier to employment and they want to work.
93,0.6675,0.5825,0.6675,"With support from people like you, they can overcome their barriers and earn success and the self-sufficiency that comes with it."
94,0.5,0.5,0.5825,And then the pay-off begins for the entire community.
95,0.6,0.44999999999999996,0.44999999999999996,"Last year, participants in Goodwill programs earned --and paid taxes on -- wages of nearly $3.5 million."
96,0.5,0.44999999999999996,0.44999999999999996,Michael Sims felt that way at age 39 -- the day he earned a job.
97,0.5,0.4,0.5,"November 15, 1994"
98,0.65,0.4,0.55,Their successes at work also saved taxpayers more than three-quarters of a million dollars in public assistance.
99,0.5,0.30000000000000004,0.55,"The savings are counted in more ways than dollars and cents, however."
100,0.55,0.55,0.6,"The families of the new wage earners may feel the accomplishment in terms of a house to live in, money to purchase food -- without food stamps -- and the beginning of a family focused on success, not hopelessness."
101,0.44999999999999996,0.55,0.5,Won't you help make all of these successes possible?
102,0.44999999999999996,0.5,0.55,Please send the largest contribution you can comfortably make.
103,0.65,0.5,0.55,Your gift will help give new meaning to the word success -- for people who have seldom had reason to use the word.
104,0.25,0.625,0.375,Michael was born with cerebral palsy.
105,0.5825,0.5,0.5825,"Sincerely,"
106,0.5,0.5,0.5,James M. McClelland President
107,0.5,0.5,0.5,P.S.
108,0.55,0.5,0.6,Your gift will make a difference.
109,0.75,0.6,0.6,"For every dollar of public support Goodwill received last year, we returned $1.59 to the community in the form of earned wages and reduced public assistance payments."
110,0.65,0.5,0.5,"Upon entering the work force, he discovered few job opportunities that seemed to match his abilities."
111,0.5,0.4,0.5,For several years he performed packaging and clerical work.
112,0.5,0.5,0.5,"Dear ,"
113,0.5625,0.375,0.5625,Think of your greatest accomplishments.
114,0.25,0.5625,0.5,For 18 long months Michael could not find a job.
115,0.4,0.55,0.5,He resorted to public assistance dollars to survive.
116,0.5,0.55,0.5,"Finally, Michael called Goodwill."
117,0.55,0.5,0.5,"At Goodwill, Michael's counselors felt that his personable demeanor could be a major attribute and identified for him a possible job-match where his people skills could shine."
118,0.65,0.5,0.6,"After three interviews, Michael proved that he was the right person for the job."
119,0.75,0.65,0.6,Think of the joy and success they bring to you and your loved ones.
120,0.5,0.4,0.4,"As the Clubhouse Monitor at Bent Tree Apartments, he now provides customer service for 50 to 60 tenants each night."
121,0.5,0.5,0.5,Their complaint: the system discourages working because unemployment provides benefits that many entry-level jobs don't include.
122,0.5,0.35,0.44999999999999996,Some of the strongest critics of our welfare system are the people who have become dependent on it.
123,0.55,0.5,0.65,That's where you --and Goodwill --come in.
124,0.55,0.4,0.4,We help people train for and find jobs that make it possible for them to get off of welfare.
125,0.65,0.5,0.55,"Last year, Goodwill placed 511 people in jobs, more than double the number we placed in 1993."
126,0.44999999999999996,0.55,0.55,"While the debate on welfare reform is gathering like a storm at sea, the people who need jobs are floundering."
127,0.5,0.4175,0.5425,We need your support to continue getting people off of public assistance.
128,0.44999999999999996,0.5,0.5,Welfare is not the answer.
129,0.5,0.44999999999999996,0.44999999999999996,And welfare reform is an uncertain solution with an unknown starting date.
130,0.5825,0.5825,0.5825,Goodwill works.
131,0.5,0.375,0.625,Right now.
132,0.55,0.5,0.5,Please give the largest gift you can to Goodwill today.
133,0.5,0.5,0.5,"Sincerely, Jack Dustman Chairman"
134,0.35,0.5,0.44999999999999996,"With unemployment at its lowest point in years in central Indiana, many people still have a hard time finding meaningful employment."
135,0.5,0.5,0.5,"Some, like Jerry, are ex-offenders."
136,0.44999999999999996,0.5,0.5,"Some are blind, deaf or have other physical disabilities."
137,0.25,0.5,0.5,More than 100 were homeless.
138,0.65,0.55,0.5,"But Goodwill offers hope even to people with numerous obstacles to overcome, like Jerry."
139,0.5,0.44999999999999996,0.55,"March 17, 2000"
140,0.5,0.4,0.44999999999999996,"For as long as he needs it, Goodwill will continue to help."
141,0.44999999999999996,0.55,0.5,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path."
142,0.6,0.4,0.55,Your support of Goodwill will provide job training and placement services to help the hardest to serve in central Indiana find meaningful employment.
143,0.6,0.30000000000000004,0.4,"And, with your assistance, Goodwill can help employers develop resources to keep workers on the job."
144,0.625,0.625,0.75,Please make an investment in the stability of our community by sending a gift to Goodwill.
145,0.625,0.5625,0.5,Your generosity will help people help themselves.
146,0.5625,0.5625,0.5,"Sincerely,"
147,0.5,0.4,0.5,James M. McClelland President
148,0.5,0.5,0.5,"Name Address City, ST, Zip"
149,0.44999999999999996,0.5,0.5,He went to the Center Township Trustee for food stamps until he could find a job and a place to live.
150,0.5,0.625,0.5,But Jerry's troubles didn't end there.
151,0.5,0.5,0.5,"The seasonal construction job he obtained soon ended, and he returned to Career Academy for help once more."
152,0.5,0.35,0.65,"When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life."
153,0.4,0.5,0.4,"Unemployed, homeless and with a prison record, Jerry now faced going back to prison for failure to pay child support."
154,0.5,0.5,0.55,"Such fund are often used for college tuition, vocational training or a deposit on an apartment."
155,0.25,0.6,0.4,"Without private donor support, this Fund doesn't exist."
156,0.5,0.4175,0.4175,Please take a few minutes to send a donation to help one or more of our children successfully cross that threshold into the future.
157,0.5625,0.5,0.5,"Sincerely,"
158,0.5,0.5,0.5,Mary Roth Executive Director
159,0.5,0.5,0.5,"June 21, 1999"
160,0.5,0.5,0.5,The young adults who leave Pleasant Run have those same feelings.
161,0.5,0.5,0.5,"Many need furniture, linens and other basic necessities to begin lives on their own."
162,0.5,0.5,0.55,"Name Address City, ST Zip"
163,0.55,0.5,0.5,Individuals who are being emancipated are eligible to receive up to $500 from the Fund if they formally apply and meet four requirements:
164,0.5625,0.5,0.5,"Dear ,"
165,0.6,0.55,0.65,2. Successful completion of all life skills tests
166,0.55,0.6,0.55,Do you remember the combination of elation and apprehension you felt when you first left home?
167,0.44999999999999996,0.5,0.55,3. Positive termination of his or her Pleasant Run program
168,0.5,0.5,0.5,4. Possession of a high school diploma or GED
169,0.5,0.55,0.6,"Proof of meeting these, two staff reference letters and an essay stating why they should receive a grant and how it will be used are all reviewed by a Pleasant Run panel, which determines if the applicant merits the funds."
170,0.5,0.5,0.5,Then the task was to help children who lost parents in the Civil War.
171,0.4,0.5,0.44999999999999996,"Today, we serve children and families with a multitude of problems: emotional, physical, psychological and sexual abuse."
172,0.6,0.5,0.55,"Some come from families where, through therapy, there is hope for reunification."
173,0.6,0.5,0.5,"For others, ""families"" are the counselors are housemates at the group homes where they live."
174,0.30000000000000004,0.44999999999999996,0.4,The biggest tragedy is that the problems don't go away; they only grow.
175,0.4175,0.5,0.5,"Little ones, like Baby Jessica, caught in the struggle between adoptive and birth parents."
176,0.5,0.5,0.5,"In 1996, these figures will triple."
177,0.5,0.375,0.4375,"November 27, 1995"
178,0.6675,0.5825,0.6675,"They welcome the chance to belong, to become self- sufficient, to regain their self-esteem and confidence."
179,0.4,0.55,0.55,"For Pleasant Run to continue to serve abused and neglected children and their families, we need your support."
180,0.5,0.6,0.55,"The Funding sources are shrinking, but the needs grow explosively."
181,0.55,0.65,0.65,"Please ""help good kids get better"" by sending us a contribution today."
182,0.55,0.5,0.5,Your gift will give children and families hope for improved tomorrows.
183,0.5,0.4175,0.5,"Sincerely,"
184,0.5,0.44999999999999996,0.44999999999999996,Mary Roth
185,0.35,0.55,0.5,"Older kids, like Tracy and Kerry, left homeless after a recent murder-suicide in Indianapolis claimed Mom and Dad."
186,0.4,0.55,0.55,"Young adults, like Mary T., a jobless mother of three, trying desperately to keep her kids out of trouble in a crime-ridden neighborhood."
187,0.5,0.4,0.65,Dear Friend:
188,0.75,0.8325,0.5,Real people!
189,0.15000000000000002,0.6,0.5,"Families are being torn apart, and too often, children are the victims."
190,0.5,0.44999999999999996,0.55,What kind of people benefit by your contribution to Pleasant Run Children's Homes?
191,0.44999999999999996,0.4,0.55,"Alice, sent to a group home to get help because of severe behavior disorders;"
192,0.625,0.5625,0.4375,"and John H., a recovering alcoholic, rebuilding a relationships with his family so they can live together again."
193,0.5,0.55,0.55,Pleasant Run Children's Homes began serving children nearly 130 years ago.
194,0.44999999999999996,0.65,0.44999999999999996,"For some, it's a matter of weeks or months;"
195,0.5,0.4375,0.5625,"for others, it's years."
196,0.6,0.55,0.6,"They leave Pleasant Run, generally, ready and able to contribute to society."
197,0.7,0.7,0.7,We're proud of our children and all that they overcome.
198,0.5,0.4,0.55,"We are a not-for-profit, multi-service agency."
199,0.5,0.5,0.55,We wouldn't exist if the need weren't there.
200,0.55,0.44999999999999996,0.5,The numbers of children who deserve our services are rising... as quickly as our programs can grow to serve them.
201,0.55,0.4,0.55,"Pleasant Run Children's Homes... ""where good kids get better."""
202,0.5,0.44999999999999996,0.5,"Sincerely,"
203,0.5,0.44999999999999996,0.5,Mary Roth Tom Hirschauer
204,0.5,0.4375,0.5,"June 26, 1995"
205,0.5,0.375,0.4375,"Federal, state and local governments are freezing or withdrawing much-needed funding sources for people who are truly in need."
206,0.55,0.55,0.5,"In spite of that, Pleasant Run Children's Homes, with the help of hundreds of volunteers and others who really care, continues to make a significant impact on the futures of families and kids in need of help."
207,0.6875,0.5625,0.375,Dear Friend:
208,0.4,0.55,0.4,"We all hear about today's increases in neglect, abuse and abandonment of those who can't fight back: children."
209,0.5,0.30000000000000004,0.4,Yet few of us hear enough about kids who live through these adversities and do make the grade.
210,0.7,0.6,0.55,The positive side.
211,0.6,0.44999999999999996,0.44999999999999996,These are special children.
212,0.5,0.5,0.5,It is a fund-raising appeal.
213,0.5,0.5,0.5,"whether it's for therapeutic help in their own homes (which nurtures whole families), through foster care families or in the familial surroundings of our residential homes."
214,0.625,0.625,0.625,Your contribution will make a difference in a child's life.
215,0.6,0.55,0.5,It may help a family stay together.
216,0.625,0.6875,0.6875,It can certainly make happy holiday memories.
217,0.65,0.6,0.5,A gift to Pleasant Run means the children in our care will have presents to open.
218,0.5625,0.4375,0.5,"A gift means a family will have a holiday meal, cooking utensils to prepare the meal and dishes to serve it on."
219,0.55,0.5,0.5,Your gift will go beyond the holiday season.
220,0.6,0.44999999999999996,0.5,"It can help purchase clothing, school supplies, books and educational tools throughout the year."
221,0.5825,0.5,0.6675,Please take a few minutes to mail a donation to Pleasant run.
222,0.6,0.55,0.5,Let our families and children know that you want them to have the same kinds of memories of the holidays you will have.
223,0.5,0.55,0.5,Dear Friends of Pleasant Run:
224,0.8999999999999999,0.7,0.44999999999999996,We wish you and your family a new year full of joy and love.
225,0.5,0.5,0.5,Mary Roth Executive Director
226,0.75,0.625,0.625,This is the time of year when we give thanks for the warmth and love that surrounds us.
227,0.5,0.5,0.5,And this time of year is an occasion to remember those not as fortunate as we are.
228,0.55,0.5,0.5,Pleasant Run cares for at-risk children and families.
229,0.5,0.375,0.5425,"We do this through a wide range of programs including community- based, therapeutic foster care, group homes and our treatment center."
230,0.55,0.55,0.5,"The holiday season is the time of year when we're all busy buying gifts, baking goodies, decorating our homes and making arrangements to be with family and friends."
231,0.4,0.55,0.55,Many of the children are victims of abuse or live in unstable homes.
232,0.30000000000000004,0.6,0.4,Many of the children have no homes; no memories of joy from past holidays.
233,0.4,0.5,0.4,"Others are from families that are struggling to provide a healthy, happy environment but don't have the resources to make it possible."
234,0.5,0.4175,0.4175,"If you are interested and would like more information, please contact Lisa Lusk or Marcia Whited at 693-9222."
235,0.5,0.5,0.55,We would like to have families matched with sponsors non later than xxxx.
236,0.6875,0.5,0.5625,Thank you for considering this opportunity to make this a memorable holiday season for a family in need.
237,0.55,0.44999999999999996,0.55,"Sincerely,"
238,0.55,0.65,0.65,It's hard to believe that the holiday season is only two months away.
239,0.5,0.5,0.55,"Every year we seek companies, organizations and individuals to sponsor one or more of our families."
240,0.55,0.55,0.55,These families are participants in our community-based programs.
241,0.5,0.44999999999999996,0.44999999999999996,These programs focus on keeping the family together by providing counseling and other services to the entire family.
242,0.35,0.4,0.5,"After our caseworkers meet with these families and their children they often find they lack even the basic necessities such as cooking utensils, beds, cleaning supplies, etc."
243,0.55,0.55,0.6,We meet these needs immediately.
244,0.35,0.44999999999999996,0.44999999999999996,"But, the holiday season is a particularly difficult time for these families."
245,0.4375,0.5,0.5,They do not have the resources necessary to purchase gifts or food for a holiday meal.
246,0.55,0.55,0.6,We are asking you to consider sponsoring one of our families for this holiday season.
247,0.55,0.4,0.4,"At Pleasant Run, Inc. we are making plans and arrangements for our children and families."
248,0.5,0.5,0.5,It costs $225 to send one child to camp.
249,0.5,0.55,0.55,"Many members of the Boys & Girls Clubs of Indianapolis can't afford to go to camp without financial assistance, and that's why we need you!"
250,0.5,0.5,0.5,Please make camp possible for all deserving Indianapolis children and send in a tax deductible contribution today in the enclosed envelope.
251,0.6875,0.75,0.625,"Consider sponsoring 1, 2, or 3 children."
252,0.75,0.65,0.44999999999999996,"No matter the size of the donation, please know that your gift will be appreciated and make a difference."
253,0.5,0.25,0.5,"Sincerely,"
254,0.5,0.4,0.5,Richard Dickinson
255,0.65,0.6,0.55,You can make a difference in a child's life.
256,0.5,0.5,0.5625,"June 1, 1998 BOYS & Girls Club OF INDIANAPOLIS"
257,0.55,0.44999999999999996,0.55,"Six weeks of learning and exploring, sports, arts, and fellowship."
258,0.5,0.44999999999999996,0.44999999999999996,"A time for a youngster to enjoy the fun and benefits of residential camp living, dedicated staff and instruction, and a chance to make special friends."
259,0.65,0.5,0.6,"I know you're committed to ensuring today's children have safe, healthy, and positive summer experiences."
260,0.5,0.5,0.5,That's why I want you to learn more about the Super Summer Safari Camp.
261,0.55,0.4,0.55,"At Super Summer Safari Camp, there are daily sports, nature, and arts activities."
262,0.5625,0.4375,0.5,"Dear Friend,"
263,0.5,0.5,0.5,"In addition to the fun stuff, important life-skills such as self-esteem, leadership, and interpersonal cooperation are being developed."
264,0.65,0.8,0.5,"It's summertime, so it must be time for CAMP!"
265,0.55,0.55,0.55,Please read the enclosed brochure for more information on the wonderful Super Summer Safari Camp!
266,0.5,0.55,0.55,We are counting on you now to help us get where we need to be tomorrow.
267,0.5,0.5,0.44999999999999996,Would you please consider a gift of the same in 1999?
268,0.5,0.5,0.5,"Please, give generously."
269,0.55,0.5,0.55,The kids are depending on you.
270,0.5,0.5,0.5,"Respectfully,"
271,0.5,0.5,0.5,"James Campbell President of the Board Deputy Chief, Indianapolis Police Department"
272,0.5,0.375,0.5,A United Way Agency
273,0.4,0.55,0.4,Youngsters often find themselves feeling alienated and alone.
274,0.5,0.4,0.5,"February 26, 1999"
275,0.5,0.4375,0.5,That's where the Boys & Girls Clubs of Indianapolis come in.
276,0.5,0.5,0.5,We reach out to kids -- especially those from disadvantaged neighborhoods where the risks are highest.
277,0.5,0.4,0.5,"Dear ,"
278,0.30000000000000004,0.55,0.5,"Kids today face overwhelming pressures, everything from trouble at home to gangs and drugs."
279,0.6,0.55,0.55,"Money for programs, for equipment, and for repairs and improvements to club facilities."
280,0.55,0.7,0.7,"In addition, we will have soft drinks and a raffle, so that you can walk home with a great prize!"
281,0.5,0.5,0.5,"The Jameson Grill has been designed to be nothing but fun for you, your family, employees, and maybe even your neighbors."
282,0.65,0.65,0.55,"Simply fill out the enclosed card, and we will see you at the Grill!"
283,0.5,0.375,0.5625,One of our volunteers will be contacting you soon.
284,0.5,0.5,0.44999999999999996,Questions?
285,0.55,0.5,0.55,"Call Pat Bray at 241-2661 or e-mail, jcfundrzr@aol.com"
286,0.5,0.5,0.55,"Saturday, September 20,1997, from 2:00 p.m. until 7:00 p.m., marks a special day, as Jameson Camp will hold its first ever Jameson Grill."
287,0.7,0.75,0.5,A fund raiser dedicated to you and your family having fun!
288,0.625,0.625,0.5625,!
289,0.6,0.6,0.6,"For this event, when you purchase a corporate picnic table, you will be able to bring 16 people."
290,0.55,0.5,0.44999999999999996,"From basketball, kickball, volleyball, archery, crafts, an egg toss, and even a walk through our creek, you will have plenty to do to get you good and hungry."
291,0.5,0.5825,0.8325,"Hungry, you bet!"
292,0.7,0.6,0.6,"We'll prepare a hog roast and hot dogs for the kids, with all the fixings."
293,0.6,0.65,0.55,"This event is designed to be fun for campers, their families, friends of the camp, neighbors, staff, and anyone interested in finding out more about Jameson."
294,0.8,0.75,0.6,"In short, Fun for Everyone!"
295,0.5,0.5,0.55,"The family-friendly event, September 20, 1997, will include a hog roast, activities for kids and adults, prizes for activities, and a small raffle."
296,0.5,0.5,0.44999999999999996,This is where we need your help.
297,0.5425,0.4575,0.5425,Can you help support this wonderful event by furnishing any type of products or services that can be used as prizes for our activities or as a raffle prize?
298,0.5825,0.5,0.5,Jameson is a not-for-profit agency established in 1928 to serve the youth of central Indiana who have special needs.
299,0.6,0.6,0.6,Your contribution will help with funding so Jameson Camp can continue providing the year-round camping experience that gives kids a chance to create dreams.
300,0.5,0.4175,0.5,"July 11, 1997"
301,0.55,0.55,0.5,Enclosed is a form you can complete and return to us in the postage-paid envelope.
302,0.5,0.5,0.5,"Or, you can fax us at 241-2760, or e-mail, icfundrzr@aol.com."
303,0.5625,0.4375,0.5625,Your quick response will help us begin organizing our prizes.
304,0.5,0.3325,0.5,"After we receive your commitment, we will contact you about picking up your contribution."
305,0.55,0.55,0.55,"If you have any questions, please call me at 241-2661."
306,0.7,0.65,0.55,We appreciate your support of our first event of this type.
307,0.5,0.55,0.5,Help Blaze The Trail -- 1997 Jameson Camp
308,0.7,0.55,0.5,Thank you for your last Annual Fund Gift!
309,0.5,0.4175,0.5,"The camp offers summer residential programs for children from ages 7-17, and continues contact with the campers and their families with special overnight and weekend follow-up events during the school year."
310,0.5,0.5,0.5,"Name Address City, State Zip"
311,0.4575,0.4175,0.5,"All children who attend the camp are referred by social workers, doctors, teachers, counselors, and other professionals."
312,0.4,0.44999999999999996,0.44999999999999996,"Many of the children have learning disabilities, behavioral problems, or come from economically distressed families."
313,0.5,0.5,0.5,Dear Mr./Mrs. Name:
314,0.55,0.55,0.55,"The goal of our organized camping experience is to improve the total health of the children socially, emotionally, and physically."
315,0.5,0.65,0.5,We need your help in continuing the work of Jameson Camp.
316,0.6,0.44999999999999996,0.5,Two of them told me yesterday that as a group they decided they had to earn the right to ask others for help by accomplishing something real to help themselves.
317,0.5825,0.5,0.5,I hope you'll consider continuing your support of Jameson's special campers by renewing your last gift of $ xxx.
318,0.375,0.4175,0.5,And that's from kids many people see as a problem.
319,0.6,0.55,0.55,"Even after the summer sessions come to a close, Jameson campers will take part in year-round programs designed to keep that positive contact with peers and role models alive and important."
320,0.7,0.55,0.6,We've scheduled more than 15 follow-up camper weekends beginning in September and going around till next summers camping season.
321,0.5,0.5,0.5,"Sincerely,"
322,0.5,0.44999999999999996,0.5,Julie Marsh Executive Director
323,0.5,0.3325,0.5,P.S.
324,0.6,0.55,0.65,We know our follow-up weekends are going to be better attended than ever this fall and winter.
325,0.5,0.3325,0.5825,"July 25,1997"
326,0.5,0.5,0.44999999999999996,If you can give a little more to help meet this increased expense we would appreciate your support.
327,0.625,0.625,0.375,I can tell you we need your help now as much as ever before.
328,0.6,0.55,0.44999999999999996,"All of our Six summer camping sessions are booked to capacity (and, truth be told, with maybe one our two extra returning campers squeezed in) and we have a waiting list of 60 children who are hoping to come if a spot should open."
329,0.6,0.7,0.55,What a Summer!
330,0.5,0.5,0.55,Many more camper referrals are coming from new organizations such as school social-workers and family counseling agencies.
331,0.4,0.5,0.44999999999999996,"It seems summer options aren't readily available for troubled kids whose families have limited incomes, so we're doing all we can to make Jameson available."
332,0.5,0.44999999999999996,0.5,"That ""we"" includes the Youth Leadership teens."
333,0.5825,0.75,0.5825,"These 60 or so campers have takenon a fund raiser with a goal of raising $16,000 for camperships."
334,0.6,0.6,0.6,"An understanding that, above anything else, success requires genuine effort, a willingness to set challenging goals."
335,0.5,0.5,0.5,In just the past few years this program has grown from a few kids and a few extra activities to a team of almost 60 young adults taking on real projects.
336,0.4575,0.375,0.4575,YL teens will make J.C. juniors happen again this year for 7 and 8 year old campers.
337,0.65,0.5,0.5,"A five day camp, J.C. juniors introduces at-risk children to Jameson two years earlier than we could previously reach them."
338,0.7,0.65,0.55,"That means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade."
339,0.55,0.5,0.6,The teens have also decided to raise money to provide camperships for other campers because they know what Jameson has meant to them.
340,0.6,0.4,0.44999999999999996,The teens have undertaken a volunteer project to regularly visit with sick children at a local hospital.
341,0.5,0.44999999999999996,0.44999999999999996,Please consider renewing your gift today.
342,0.5,0.4175,0.4175,The kids need your leadership now more than ever.
343,0.5,0.55,0.25,"If you can increase your last donation, we would appreciate that show of support for the campers and their efforts to overcome obstacles and create successful lives."
344,0.75,0.5,0.375,Thank you again for helping point the way.
345,0.5,0.5,0.5,"Sincerely,"
346,0.5,0.4375,0.5625,"Julie Marsh, Executive Director"
