Deal ID,Companies,Company ID,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO (at time of deal),CEO PBId,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Add-on,Debts,Total New Debt,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded,Company Website
172655-11T,HMD Labs,466139-44,"Provider of data analytics technology intended to empower medical device innovators to enhance their value propositions to clinical practitioners. The company's technology provides a purpose-built turnkey data analytics platform especially for developers of next-generation medical devices by making them accelerate their time-to-market and allocate the limited resources to differentiating features, enabling medical device innovators to effectively solve their specific clinical challenges-of-choice while continuously optimizing for cost and performance.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Other Commercial Services, Other Healthcare Technology Systems","Artificial Intelligence & Machine Learning, Big Data, SaaS","data analytics technology, data analytics technology platform, data analytics tool, machine learning tech, medical saas tool",Venture Capital-Backed,Product In Beta Test,Venture Capital,Kevin Derr,262629-73P,2,172655-11T,,09-Nov-2021,0.22,Actual,,,,,1.88,2nd Round,,,Series A,Early Stage VC,Series A,,Venture Capital,,No,,0.22,0.22,,Completed,Product In Beta Test,Venture Capital-Backed,5,,,,US Dollars (USD),"San Francisco, CA",Americas,North America,San Francisco,California,,United States,2020,www.neuronsphere.io
185363-83T,OnlySky,134057-26,"Developer of an end-to-end cloud software platform designed to manage ski resorts created to revolutionize the ski and snowboard industry. The company's platform assists guests to do everything from renting equipment to finding a ski instructor through a person's smartphone, enabling ski resorts to streamline operations and processes of their ski school management and engage guests and instructors which enhances guest experiences.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Other Restaurants, Hotels and Leisure","SaaS, TMT","leisure operations, management tool, ski management, ski school management, snow skiing, snowsports network optimization, travel tourism",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Charles Von Thun,199946-89P,8,185363-83T,,17-Dec-2021,0.22,Actual,6.21,6.43,Actual,3.44 %,4.21,6th Round,Down Round,0.22,Series A3,Later Stage VC,Series A3,,Venture Capital,0.22,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Denver, CO",Americas,North America,Denver,Colorado,80202,United States,2016,www.theonlysky.com
175596-13T,Fandex,469402-03,"Operator of a game trading platform intended to offer a sports stock exchange portal. The company's platform provides a trend analysis tool based on which users can see the current prices and trends for any team, from every major sport, enabling users to build their own portfolio, share the price changes, buy and sell sports stocks.",Information Technology,Software,Entertainment Software,Entertainment Software*,Gaming,"social gaming app, social gaming network, social gaming service, social gaming system, social gaming tool",Angel-Backed,Generating Revenue,"Pre-venture, Venture Capital",Kyle Carrozza,267638-68P,2,175596-13T,,07-Apr-2021,0.23,Actual,4.22,4.45,Actual,5.21 %,0.27,1st Round,,4.13,Series A,Early Stage VC,Series A,,Venture Capital,0.23,No,,,,,Completed,Generating Revenue,Angel-Backed,,,,,US Dollars (USD),"Durham, NC",Americas,North America,Durham,North Carolina,27707,United States,2017,www.fandex.com
181254-34T,Ubiterra,102646-18,"Provider of a cloud-based data management platform intended to drill and manage data more efficiently. The company's platform offers a data storage and management software which allows all team members and partners to see the subsurface view of the drilling well as it is drilled, enabling companies to store data on the cloud in a safe and secure way.",Information Technology,Software,Database Software,Database Software*,"Big Data, SaaS, TMT","cloud computing, cloud storage platform, data management, data management platform, data storage",Angel-Backed,Generating Revenue,"Pre-venture, Venture Capital",Peter Flanagan,40610-98P,7,181254-34T,22-Sep-2021,05-Oct-2021,0.27,Actual,8.52,8.79,Actual,3.04 %,2.54,3rd Round,Up Round,4.44,Series A1,Later Stage VC,Series A1,,Venture Capital,0.27,No,,,,,Completed,Generating Revenue,Angel-Backed,,,,,US Dollars (USD),"Denver, CO",Americas,North America,Denver,Colorado,80202,United States,2011,www.ubiterra.com
175093-21T,Ryver,57709-63,"Developer of a cloud-based software platform designed to offer cloud-based contact management and task management services. The company's platform assists users in collaborating and managing emails and clients' data, enabling teams to communicate with each other in one place via chats, posts and files.",Information Technology,Software,Business/Productivity Software,"Automation/Workflow Software, Business/Productivity Software*",SaaS,"cloudtech and devops, collaborating and managing, computer software company, email management, task management software, team collaboration, team collaboration apps",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Patrick Sullivan,32226-31P,8,175093-21T,,22-Jun-2021,0.29,Actual,,,,,18.05,6th Round,,,Series C,Later Stage VC,Series C,,Venture Capital,0.29,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Scottsdale, AZ",Americas,North America,Scottsdale,Arizona,85258,United States,2011,ryver.com
170862-31T,Machfu,155324-35,"Developer of a connectivity platform created to simplify the Industrial Internet of Things (IIoT) from edge to enterprise. The company's technology connects data at the edge sensors, controllers, or equipment to the rest of the enterprise and imitates the virtual structures of traditional desktop and smartphone operating systems, enabling companies to securely connect their existing information sources, remotely configure devices, and quickly build out mobile applications.",Information Technology,Computer Hardware,Electronic Equipment and Instruments,"Business/Productivity Software, Electrical Equipment, Electronic Equipment and Instruments*","Advanced Manufacturing, Industrials, Internet of Things, TMT","application maintenance, connectivity technology, edge computing, edge computing software, embedded device platform, grid automation, iot connectivity product",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Prakash Chakravarthi,31878-91P,11,170862-31T,,20-Apr-2021,0.30,Actual,12.85,13.15,Actual,2.24 %,6.08,4th Round,Flat Round,3.90,Series A1,Later Stage VC,Series A1,,Venture Capital,0.30,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Rockville, MD",Americas,North America,Rockville,Maryland,20850,United States,2015,www.machfu.com
185085-55T,Flip Group (Dating App),489026-17,"Developer of a dating application platform intended to verify users to concentrate on having fun. The company's platform provides helps users not to waste the time of people who want to find real relationships, enabling users to make authenticity its priority.",Information Technology,Software,Application Software,"Application Software*, Other Media",Mobile,"dating application, dating application developer, dating application software, dating community, dating platform, dating product",Angel-Backed,Generating Revenue,"Pre-venture, Venture Capital",Oliver Heartmont,103381-75P,3,185085-55T,01-Mar-2020,01-Mar-2021,0.31,Actual,1.65,1.84,Actual,10.20 %,0.63,1st Round,,0.10,Series A,Early Stage VC,Series A,,Venture Capital,0.19,No,"Other - €0,12M",0.12,0.12,,Completed,Generating Revenue,Venture Capital-Backed,,18,18,,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,,United States,2016,www.flip.dating
168454-63T,PetHub,54633-25,"Developer of a pet locating device designed to help pet parents find their lost pets. The company's device contains digital identification tags with a database used to help in finding lost pets by linking it to a physical smartphone with a scannable waterproof tag having GPS notifications, enabling pet owners to store information including care instructions and medical conditions and to also locate missing pets via a geo-positioning service.",Information Technology,Computer Hardware,Electronic Equipment and Instruments,"Application Software, Electronic Equipment and Instruments*","Big Data, Pet Technology, SaaS","geo-positioning service, identification technology, lost pet recognition, lost pet search app, pet data management, pet locator",Venture Capital-Backed,Generating Revenue,Venture Capital,Thomas Arnold,41729-68P,5,168454-63T,11-Feb-2021,10-Mar-2021,0.33,Actual,8.29,8.62,Actual,3.85 %,2.98,5th Round,Up Round,0.17,Series A,Later Stage VC,Series A,,Venture Capital,0.33,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,4,4,,US Dollars (USD),"Wenatchee, WA",Americas,North America,Wenatchee,Washington,98027,United States,2010,www.pethub.com
170353-54T,OTO,225263-08,"Developer of a next-generation language processing software designed to unlock valuable data from voice interactions. The company's software uses AI to coach call center representatives in real-time during each call and gathers data from voice intelligence, enabling businesses to deliver hyper-personalized customer experience at scale.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Media and Information Services (B2B)","Artificial Intelligence & Machine Learning, Big Data, TMT","artificial intelligence app, conversational systems, conversational tools, conversational website, training app, voice intelligence technology",Formerly VC-backed,Generating Revenue,Venture Capital,Teo Borschberg,179224-93P,4,170353-54T,26-Mar-2021,13-Apr-2021,0.38,Actual,2.95,3.34,Actual,11.51 %,6.14,2nd Round,Down Round,0.05,Series C,Seed Round,Series C,,Venture Capital,0.38,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,11205,United States,2017,www.oto.ai
170970-22T,Piñata,434651-41,"Developer of a property management platform designed to manage rent payments with ease. The company's platform offers reward points to the renters on paying the rent on time, giving tenants a way to save money, earn rewards, and be motivated to pay timely rent, enabling landlords to collect rent online, manage maintenance requests, track expenses and retain their tenants.",Consumer Products and Services (B2C),Services (Non-Financial),Other Services (B2C Non-Financial),"Application Software, Business/Productivity Software, Financial Software, Other Services (B2C Non-Financial)*","FinTech, Real Estate Technology","property operator, property rental, rent payment platform, rent payment processing, rental support systems, rewards platform",Venture Capital-Backed,Generating Revenue,Venture Capital,Lily Liu,229136-86P,2,170970-22T,30-Mar-2021,12-May-2021,0.41,Actual,0.83,1.24,Actual,33.33 %,0.87,1st Round,,0.68,Series A,Early Stage VC,Series A,,Venture Capital,0.41,No,,,,,Completed,Generating Revenue,Angel-Backed,,,,,US Dollars (USD),"Newark, NJ",Americas,North America,Newark,New Jersey,7102,United States,2019,www.pinata.ai
167870-89T,V1 Sports,86582-17,"Developer of sports motion analysis and digital media software intended to enhance the skills of athletes. The company offers golf and baseball video analysis and online coaching software along with mobile apps to capture, review and improve the game, enabling coaches, instructors and training facilities to help players enhance their performance.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Other Commercial Products","Mobile, TMT","baseball instruction, sports analysis, sports analysis platform, sports application, sports coaches online, video analysis software",Venture Capital-Backed,Generating Revenue,Venture Capital,Bryan Finnerty,45434-08P,2,167870-89T,17-Feb-2021,11-Aug-2021,0.42,Actual,7.20,7.62,Actual,5.56 %,0.88,1st Round,Up Round,74.20,Series C,Later Stage VC,Series C,,Venture Capital,0.42,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Novi, MI",Americas,North America,Novi,Michigan,48375,United States,1995,www.v1sports.com
135271-72T,Ubiterra,102646-18,"Provider of a cloud-based data management platform intended to drill and manage data more efficiently. The company's platform offers a data storage and management software which allows all team members and partners to see the subsurface view of the drilling well as it is drilled, enabling companies to store data on the cloud in a safe and secure way.",Information Technology,Software,Database Software,Database Software*,"Big Data, SaaS, TMT","cloud computing, cloud storage platform, data management, data management platform, data storage",Angel-Backed,Generating Revenue,"Pre-venture, Venture Capital",Nancy Hamilton,32016-34P,6,135271-72T,17-Apr-2020,19-May-2021,0.43,Actual,3.29,3.72,Actual,11.48 %,2.28,2nd Round,Flat Round,2.27,Series A,Later Stage VC,Series A,,Venture Capital,0.43,No,,,,,Completed,Generating Revenue,Angel-Backed,,,,,US Dollars (USD),"Denver, CO",Americas,North America,Denver,Colorado,80202,United States,2011,www.ubiterra.com
132883-75T,Kingdom Scene Endeavors,61197-94,"Developer of online virtual games designed to promote Christian faith and values for children. The company's games are engaging and strategically designed to inspire reflection and conversations about biblical faith and values, providing children with opportunities to play games, watch videos, interact and learn in a fun, safe and collaborative environment.",Information Technology,Software,Entertainment Software,"Educational and Training Services (B2C), Educational Software, Entertainment Software*, Publishing","eSports, Gaming, Impact Investing, TMT","christian, computer games, gaming engagement, mini games, online games, prayer video, virtual environment",Accelerator/Incubator Backed,Startup,"Pre-venture, Venture Capital",Zachary Fay,59906-44P,6,132883-75T,14-Feb-2020,26-Feb-2021,0.47,Actual,,,,,5.30,Angel,,,Series B,Angel (individual),Series B,,Individual,0.47,No,,,,,Completed,Startup,Accelerator/Incubator Backed,,,,,US Dollars (USD),"Saint Louis, MO",Americas,North America,Saint Louis,Missouri,63105,United States,2009,www.kingdomscene.com
165467-35T,Atreyu,229313-08,"Developer of a high-tech electronic brokerage system designed to simplify the trading process for programmatic quant managers. The company's system offers features that include high-speed throughput, quant-driven trading integration and access to top-tier executing brokers, at competitive prices, enabling managers to trade efficiently.",Information Technology,Software,Financial Software,"Brokerage, Business/Productivity Software, Financial Software*","FinTech, SaaS, TMT","broker platform, broker trading, brokerage platform, trading platform, trading support platform",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",George Kledaras,119142-64P,4,165467-35T,01-May-2020,08-May-2021,0.53,Actual,,,,,9.47,2nd Round,,,Series A,Later Stage VC,Series A,,Venture Capital,0.53,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,3,2,1,US Dollars (USD),"New York, NY",Americas,North America,New York,New York,10036,United States,2015,www.atreyugroup.com
165402-28T,TopCourt,327542-32,"Developer of a sports streaming platform intended to provide online tennis instructions in a storytelling format. The company's platform provides drills, stories, behind the scene events and instructional videos of top tennis pros to make it possible for tennis fans to look into the life, mind, and performance of their favorite players, enabling users to learn from and be inspired from the iconic tennis players.",Information Technology,Software,Educational Software,"Application Software, Educational Software*, Information Services (B2C)","EdTech, Mobile","e-learning technology, instructional videos content, online tennis platform, tennis coaching, tennis merchandise, tennis online instruction",Venture Capital-Backed,Generating Revenue,Venture Capital,Taylor Meyer,209557-36P,3,165402-28T,07-Jan-2021,20-Jan-2021,0.61,Actual,3.29,3.89,Actual,15.61 %,1.55,3rd Round,Down Round,7.38,Series A,Early Stage VC,Series A,,Venture Capital,0.61,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Durham, NC",Americas,North America,Durham,North Carolina,27701,United States,2019,www.topcourt.com
168029-29T,FieldEye,399185-74,"Developer of a digital site management and procurement platform designed to simplify and streamline complex processes. The company's platform offers site planning, equipment sourcing, vendor management and quote tracking, enabling clients to avoid disparate spreadsheets and out-dated services with streamlined industrial project management and procurement system.",Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,,"enterprise software, industrial project management tool, procurement software, project management system, project management tool, site management",Venture Capital-Backed,Generating Revenue,"Debt Financed, Venture Capital",Jonathan Scheiner,39643-39P,3,168029-29T,23-Feb-2021,08-Mar-2021,0.62,Actual,3.31,3.93,Actual,15.79 %,5.59,2nd Round,Down Round,0.08,Series A2,Early Stage VC,Series A2,,Venture Capital,0.62,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Houston, TX",Americas,North America,Houston,Texas,77002,United States,2018,www.fieldeye.com
180326-08T,Xcential,481448-08,"Developer of rulemaking software designed to draft and amend legislation. The company's product is a web-based XML editor to amend, draft, and update laws and regulations and other government documents, thereby enabling government agencies to replace the paper-based rulemaking process for legislative purposes.",Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Government",Legal Tech,"legal data services, legal document, legal process automation, legislation software, regulatory drafting, regulatory product",Venture Capital-Backed,Generating Revenue,Venture Capital,Bradlee Chang,275702-77P,1,180326-08T,,21-Jun-2021,0.62,Actual,6.18,6.80,Actual,9.09 %,0.62,1st Round,,0.54,Series A,Early Stage VC,Series A,,Venture Capital,0.62,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,1,1,,US Dollars (USD),"Encinitas, CA",Americas,North America,Encinitas,California,92024,United States,2002,www.xcential.com
158579-47T,BeatClub,443211-04,"Operator of a global marketplace intended to connect the music creator community with record labels, music publishers, film & tv, brands, content creators, and independent artists. The company's marketplace offers insights about the music industry, provides in-depth audience analytics, sales data, enabling music creators to connect with their fans, market their tracks and make more money.",Information Technology,Software,Entertainment Software,"Entertainment Software*, Media and Information Services (B2B), Movies, Music and Entertainment, Publishing","AudioTech, TMT","beat licensing, beat stars, music, music creator tools, music marketing, music marketing platform, music publishing platform, music rights information, producer, songs writer, splice",Venture Capital-Backed,Product In Beta Test,Venture Capital,Gary Marella,244941-49P,1,158579-47T,19-Oct-2020,01-Feb-2021,0.63,Actual,4.11,4.74,Actual,13.32 %,0.63,1st Round,,0.88,Series A,Early Stage VC,Series A,,Venture Capital,0.63,No,,,,,Completed,Product In Beta Test,Venture Capital-Backed,,,,,US Dollars (USD),"West Hollywood, CA",Americas,North America,West Hollywood,California,90069,United States,2019,www.beatclub.com
164404-45T,BusyKid,232151-77,"Developer of a parenting application designed to help children understand money management before adulthood. The company's mobile application offers children to earn a weekly allowance in which they can save, share, spend, or invest in real stocks, enabling users to build a strong financial routine.",Information Technology,Software,Financial Software,"Application Software, Financial Software*, Other Financial Services","FinTech, Mobile, TMT","financial literacy, financial planning, money management app, money management application, parenting app, parenting care",Venture Capital-Backed,Generating Revenue,Venture Capital,Gregg Murset,192059-02P,4,164404-45T,,04-Jan-2021,0.66,Actual,20.56,21.21,Actual,3.10 %,3.06,4th Round,Up Round,6.08,Series A3,Later Stage VC,Series A3,,Venture Capital,0.66,No,,,,,Completed,Generating Revenue,Venture Capital-Backed,,,,,US Dollars (USD),"Scottsdale, AZ",Americas,North America,Scottsdale,Arizona,85251,United States,2011,www.busykid.com
