CEO PBId,Twitter Handle
103404-88P,"@subirbh1, @SUBIRBH35997734"
224434-45P,
54141-94P,@geromesapp
148725-73P,@KillerMiller275
178182-55P,"@feringlean, @braindiesel"
240424-21P,@Gooray
85012-21P,@acrowder33
63498-70P,@rossmeissl
145985-59P,"@kylegiddens, @KyleGiddens1"
272878-39P,@DaveGulezian
211806-73P,"@Abhiman14528089, @abhiman76727600"
244219-60P,@alexcyrell
174215-53P,"@eric_adler, @EricAdler"
240666-13P,"@JsonJara23, @Jordan_jay09"
209557-36P,@taylormeyer721
233017-30P,@bwrightbyu
210083-50P,@jmsseara
41379-04P,"@Steveparrygolf, @SDParry86"
176459-59P,"@_SpencerPrice_, @spencer_price98"
150925-78P,@Jon_Berna
219352-24P,"@SenatorJimQuinn, @james_t_quinn"
218188-09P,@joshontheweb
175585-33P,@ReverendTopo
123718-60P,"@nliuzza, @NickLiuzza, @Cedric_890"
120462-58P,@assafkar
194169-79P,@CaseyGraham
150337-27P,@Jo4dev
60142-60P,@martyjbeard
191246-50P,
47800-90P,@matturmy
100978-12P,@SereneMomen
130922-65P,@JeffFlath
141182-65P,@grant_langston
267849-73P,@nickrahm
138138-04P,"@bill_sarris, @sarris_bill"
87952-78P,@EllenNussbaum
180537-49P,@BergieTX
247377-34P,@sahilchawla14
184557-16P,@jeffcfriedman
49644-46P,@Mackattack10
42325-66P,
188097-94P,@ZachBruch
148749-22P,@bechhoe1
64728-91P,@pathume66
178155-55P,@murthycsn
97560-82P,@AdamTreiser
147086-74P,@dcarosa
114371-20P,@snehalantani
133087-24P,@iraLogix
249408-82P,@hash_bender
82026-37P,@Brian_Markerr
249810-22P,@JimMcHugh
272243-35P,"@Bryyyyy34, @brianpodolak"
,
251250-49P,"@sandeepvarma, @SandeepVarmaz"
253860-40P,"@adamsbeck, @HCCDB"
166914-64P,@stuartwmcleod
163375-21P,@LouisBaugier
247944-70P,"@syedquadri099, @ahmedpashaqadri"
106569-55P,@nicole_beck412
128357-20P,@kaseyedwards_
208546-66P,@_RyanBorn
62138-44P,@anthemhayek
98664-58P,"@philipgeorgeuk, @PhillipGeorge"
203946-49P,@EgorKirin2
96365-35P,@TimCampbellRTS
179297-20P,@heathersh
47184-31P,"@shocked_sparky, @ErikKlassenmusi"
268468-12P,@_padmakumarnair
,
267333-85P,"@DarrenLaCroix, "
49603-87P,@sindhutweet
102304-90P,@karimhijazi
231388-84P,@jakelisby
93149-83P,@melvinhines
206767-00P,@_rachelolney
261616-15P,@GeorgyEgy
99877-87P,@romeshaurigin
158980-69P,@Beckyalicia
,
77853-70P,@MichaelTringe
94235-32P,@sayhitosean
214695-37P,@CanaanLinder
205200-73P,"@khalifa_tamim, @tamim_khalifa"
69388-66P,"@jason_sprankle, @jasonsprenkle"
136425-07P,@EmirDukic
110940-58P,@darrenmarble
245507-41P,"@thevinit18, @VinitSr63036050"
147193-12P,@JaneMosbacher
119680-21P,@John_Powers
126511-39P,@rishi__mathew
35329-60P,@davej95
113435-65P,@douglaswilber
250459-03P,@ironman_ai
171361-81P,@StephenSoukup
82650-34P,@kishan_guptas
166302-55P,@LukeRFox
247959-01P,@justartshaikh
194026-33P,@RosuGrigore
38429-92P,@mevans1
173474-47P,@kennethrapp
146969-47P,@kwmuir
208416-97P,"@Alokprasad62, @alokprasad84"
263579-14P,@danielmckinn0n
150337-27P,@Jo4dev
247040-56P,Sandip Ranjhan
156844-99P,
161215-75P,@hoobeguy
185785-66P,@StevenGlinert
52358-50P,@SCarney_Pi
206446-33P,@kkrish59
148501-09P,@georgefbakersr
160297-21P,"@Alens_Adventure, @HaQuynhThu"
56250-91P,@danielsinger
171178-21P,@SakemotoFromAND
127674-73P,"@CharlesYap, @Le_CharlesY"
133456-87P,@realJoeDeSena
161397-64P,@sundeepravande1
251790-49P,"@StephenRWray, @SteveWray3"
256826-62P,@PeterTeresi
267588-37P,"@jberubesr, @JackBerube"
85526-65P,"@peterbowman, @heypbowman"
211956-58P,@cenksidar
209998-27P,@Mafferty
267354-37P,"@lhhightower, @HightowerLester"
118208-62P,@MarionM75
113325-22P,"@annezinkmd, @AnneMZink"
193168-81P,"@michaeldonahue_, @DonahueMJ"
232660-99P,@MarcinWyszynski
115972-30P,"@ChefJenCarroll, @JCarrollFoy"
100249-39P,@coachforwardpod
42123-61P,@JedRice
225126-73P,@DSakya
183538-90P,@JohnPJoseph_
112681-63P,@KimStiefel79
243370-81P,"@johnburnsjbrec, @johnburns_C21"
146697-04P,@ajtrees
42528-97P,"@iSharad, @heysharad, @sharad_kr_verma"
234654-94P,"@chauani,  @aniruddhachaud3"
36657-55P,"@YoungMTodd, @Todd_C_Young"
39739-96P,@A3aanVanWyk
234943-48P,"@tdonnelly23, @timpdonnelly"
203925-07P,@jon_vitti
231694-48P,"@Garoid44, @garret_DT"
205635-07P,@directrpep
92893-87P,@tomcdorsett
172751-32P,@robertsofia
177968-80P,
218396-53P,@ReidRooney
106130-44P,
167481-91P,@zbigniewwojna
222606-64P,@AdamWeinstein
94883-23P,@dlnrb
191704-51P,@PShukla8
151111-72P,
142321-78P,@mekennard
151226-11P,@SimonAdar
113029-12P,@scottwayman
147867-67P,@ChrisRipleyATX
150050-62P,@D_Voronenko
219382-84P,
56624-77P,@bobbyclee
227454-85P,@pennesiant
136289-80P,@ethanagarwal
176448-79P,@r_pofale
224434-45P,
273258-82P,"@fib_bob, 

@ImBobReed"
282580-48P,"@midatlanticism, @justinorenOren"
14332-06P,@KobitonKevin
63070-30P,@coryklippsten
258591-25P,@dawkinsjay
101237-95P,"@jeremiah_gall, @Jeremiahgall11"
95766-67P,@JanelleMaiocco
186610-42P,
191243-08P,"@RobGarrison87, @RobGarrison11"
212899-42P,"@gdon329, @gordonodriscoll"
169461-37P,"@BradleyWeitz, @WeitzBrad,  @weitz_brad"
173093-23P,"@CavalierJr, @bcavalier506, @BrandonCavalier"
124536-97P,@tamascser
58902-67P,
214502-50P,"@RohinTagra,,"
38627-65P,@screenmeet
165298-42P,@ykassim
35534-89P,@andresblank
166185-55P,@craiglimoli
108114-58P,@bconstantin
193649-41P,@PatrickLarsen
108707-77P,"@yuanbowang89, @YuanboW"
41215-69P,@duncandavi
45282-16P,@antitornado
223279-30P,@gregg_levin
202675-06P,@rogerjkirkness
63632-26P,@jokim1
242048-62P,"@CLeeMinor, @Dareal_MrMinor, @Chr_Minor"
193037-05P,@_raj_bains
101050-66P,@ajbretschneider
246794-95P,@fazlerocks
131376-43P,@j_bisceglie
253777-06P,"@jeffreychen24, @jeff_chen_"
62745-13P,@Andy_Greff
172588-78P,"@Mayankpatel201, @96mayankpatel"
214421-23P,@claudia_recchi
120233-08P,"@Ad8mmaher, @maher_adam7"
152155-63P,@Tejsb
136793-53P,@avshah
68204-71P,"@walker_white5,  @cryptowhitewalk"
215708-14P,@Jsidloc
105214-51P,@shannasam
251262-37P,
117494-47P,@mikeaverto
225372-97P,@BarclayJKeith
237438-73P,@NeelPandya
195727-96P,@joeschaeppi
207603-82P,@kristykim1015
194007-70P,@garrycooperjr
69787-99P,@dfreed1
58438-36P,
108307-09P,@tommyoneill
82604-71P,@chrisbrunner
149208-58P,@jossleufrancois
219875-68P,(@CastedLindsay
224328-70P,@arankhanna
62553-70P,@markstraub
192037-33P,@thejessezhang
212018-68P,@scottwkaz
184152-70P,
154664-47P,@NMercad
263282-68P,
37127-98P,@jboner
181483-21P,@NewRetirement
44358-22P,@shayxjones
191106-10P,@saw_ruv
161226-10P,@danielgblackman
240604-48P,"@LaurenD2015, @laurenrock40"
178076-89P,@oaneto
104950-36P,@brian_dally
79340-32P,@Alex_HowGood
52303-24P,@smccorkle
90247-69P,@lax_outplay
167995-72P,
242589-52P,@benspringwater
183348-64P,"@Hela_03, @HelaCheikhrouh1"
223496-65P,@Kausvt
226063-63P,
183098-44P,@vsairamkumar
241483-33P,
245220-67P,@SchlicherMartha
43327-63P,@TarekKamil
109489-06P,shurwitzpixo
261983-71P,
44854-93P,
108905-86P,BenReich1
203663-89P,
224886-97P,Robert_Yuen
107594-38P,jiglasscock
212981-14P,
150719-32P,
227099-89P,
225226-63P,AmyAuthenticx
242888-14P,nishchaychadha1
69843-70P,launcox
188976-52P,Tenayshus_B
245507-05P,
200113-03P,
40649-05P,
49833-91P,rvilladiego
42345-19P,Bdbrew
47253-34P,brianrue
257767-30P,nick_emmons
170184-88P,jmitch
237381-22P,
232666-84P,Ezraslevine
33456-61P,
226093-06P,
208064-08P,
213342-49P,krisdunthoori
124694-47P,smontgomerie
263849-95P,
,
179661-61P,ScottRovegno
44632-45P,
211428-82P,
12874-96P,TracyAstarte
40887-28P,
92832-13P,
250009-84P,
205659-55P,RussFadel
42086-17P,MattFordPrism
191123-83P,atjbruce
102236-59P,
201390-13P,jasonwenk
191401-84P,
183501-64P,
115961-14P,emerywells
,
36851-41P,johnrobertsAO
172739-80P,
164662-21P,pauljnoble
206994-52P,Hisham_Aldrin
221781-16P,
234642-34P,
193056-13P,talbrown
105885-64P,EmilyG 
80992-36P,jrhusney
144915-22P,
69785-47P,Adams_Ideas
160902-37P,emadulhasan
223561-90P,pockyjack
221780-89P,
125610-22P,GadiRusc
142605-82P,saturnial
53081-56P,jeremyblalock
81762-58P,fengtality
150352-21P,ChrisDeckDC
51162-85P,Blake_Lawrence
171421-66P,
64177-30P,
195686-56P,
240641-74P,js_horne
211554-46P,
75140-83P,
213815-62P,
220854-61P,troymcclain
36981-46P,
275648-95P,
193407-67P,MalekaMomand
41661-19P,JsLittera
91748-80P,
88113-07P,
74064-61P,
180266-32P,
200529-91P,
218354-23P,
49542-85P,techCEO
213413-59P,
260595-64P,yolobro
204753-70P,grahamneray
146544-94P,
95700-34P,henryyoshida
187819-12P,evgeth_
192863-80P,Gina_Gutierrez
28136-35P,antonber
39670-75P,
281636-65P,peterprizio
171094-24P,katie_fang
53238-70P,mychung
195898-06P,danpantelo
225886-24P,vinay_shet
76068-01P,yannigiannaros
257976-64P,
193990-87P,BenMizes
110715-85P,ravisparikh
39790-18P,
219987-64P,
229930-30P,AdipNasle
176077-63P,
204198-31P,baldassarifr
195644-89P,siddharthm83
138454-66P,ErhanMusaoglu
110748-52P,
86568-31P,MrCoreyWhite
73633-96P,KerryOracleGuy
109207-27P,
97937-11P,rathnas
227967-13P,
222196-96P,snarkyzk
271412-47P,Youreka_io
210182-23P,alice_default
210898-00P,
219382-93P,
185690-80P,
54334-09P,sakumar1
258860-17P,
80622-19P,
110462-23P,
44633-53P,arunshrestha
124214-05P,lukesophinos
84394-09P,ktfolsom
234780-67P,
243830-17P,StephenDinan
44358-22P,
269616-07P,
246033-37P,
200039-77P,
40263-49P,CastoroGamer
206876-89P,
220670-38P,SuperRareJohn
269004-88P,Bchillman
226337-32P,
39847-96P,HenryWAdams
125043-94P,
183988-36P,cillian
181239-22P,uriklarman
95964-76P,
187537-24P,
84299-14P,tomhadfield
200271-07P,
219051-73P,raedish
147161-53P,dana110001
69359-77P,
101072-08P,ctpeifer
86244-31P,singh_harpreet
227468-80P,
152169-94P,
58097-35P,MarthinDeBeer
42531-49P,
207672-40P,
280792-45P,
237830-05P,
72363-25P,
147418-84P,
75150-64P,
110025-64P,haddockinvent
147083-50P,
273797-56P,
177776-02P,clairecaveny
119632-87P,
183598-39P,goeltweets
82708-39P,CraigJamalLewis
182940-76P,TravisHoloway
201259-90P,JunailiLie
213093-10P,everettcookny
56741-14P,acwheeler33
64769-50P,genefay
162203-68P,kevsben
139718-17P,
176727-97P,AntonioMJuliano
165853-81P,
185041-72P,
223998-22P,get10000fans
206352-19P,
74994-76P,
283631-59P,ashleyantonides
206928-01P,
57094-39P,peterhoradan
190978-12P,agershenson
210041-83P,mhealander
164098-18P,bkrish_da_ish
192139-30P,
211528-27P,
224038-90P,
55035-73P,
50546-80P,
239973-40P,IamKKannan
44755-48P,DavidUtleyMD
36501-40P,arijacoby
53731-81P,jeffyasuda
220198-60P,FOsitelu
85179-88P,aseemchandra
148407-94P,pauljperrone
61262-56P,uriharamati
45059-95P,
225458-11P,
216113-41P,
115336-36P,JSwifty
154934-02P,laureltaylor1
96268-60P,
112185-82P,mikehelfrich1
153061-21P,
133682-59P,sanjaypojo
48578-14P,ariraivetz
139984-48P,LeahWald
244922-59P,
221657-32P,
210174-13P,kiratpandya
167803-66P,
131646-25P,MBurdick12
200030-14P,
194111-20P,
59413-33P,whereisyaffe
78369-58P,Tan_Hack
237367-45P,
182756-17P,OmarQJordan
239475-16P,Stakenborg
186181-75P,
207879-67P,
80220-70P,matt_hocking
47860-21P,joshstella
216310-42P,
13752-46P,
235809-64P,
242872-57P,matttresidder
59769-28P,alexpach
218497-69P,cfochristina
219487-51P,
176563-36P,
237922-21P,
221039-74P,
38224-00P,averyj
84910-42P,
236401-21P,AdamGavish
104179-51P,
232106-95P,vanceroush
241715-89P,imcolemason
195174-19P,
131865-04P,anthony_j_zhang
236645-29P,
198885-70P,SonnyTai
163811-62P,jbrowder1
209651-23P,Andy_Tsen
251158-69P,
98436-34P,
151173-01P,IlitRaz
140520-88P,
12874-96P,TracyAstarte
233569-54P,Bradley_Miles_
207603-82P,kristykim1015
188071-93P,bramdon_schulz
264516-31P,
235758-34P,
230841-64P,
190252-63P,avishic
126367-12P,jfurneaux
172889-56P,jfaz
35876-89P,nickhalsey
143548-21P,
241701-22P,zalessya
238247-29P,niemerg
236310-04P,YarkinDavid
42697-45P,
111382-93P,
77526-82P,
43672-60P,
87022-81P,baself90
173120-86P,AlexandreRbcqt
80761-60P,NickCromydas
211946-05P,AlexBeliankin
183038-77P,
145312-21P,brysonbort
95256-01P,yaeljkatz
233877-79P,
77837-50P,sarthak_jain
241003-36P,darshanvaidya
200554-84P,
198040-42P,rnnbrk
182520-46P,
115224-58P,MichalAlter
215568-55P,
120913-21P,
235791-46P,
36944-74P,bobmoul
77630-32P,LarsDyrud
191785-42P,kimberly_shenk
163801-81P,
73208-35P,daniyalzade
161849-80P,vijayeraji
244717-93P,PelleB
112986-28P,
203846-50P,DeeveeKashi
111058-30P,
174413-26P,
68906-08P,thesatspeaks
193906-36P,john_peurifoy
208350-01P,Sherveen
46547-65P,
87529-60P,mattspiegelesq
124175-98P,JacksonBoyar
115978-96P,Jan_Szilagyi
166284-73P,Vadim_Rogovskiy
171744-85P,paddyorah
165128-50P,
244615-42P,Altimor
78060-79P,
189391-51P,Wemimo11
220966-30P,ThiagoDaCosta_
62070-13P,bismarcklepe
129553-57P,
193518-46P,AmandaDoAmanda
90770-32P,deoates
200803-69P,shaanh
220217-95P,SinaCherazi
241826-05P,
207900-19P,goberoi
186043-42P,richardlschwart
201066-49P,StevenRaucher
99510-49P,GaryYorkTech
55334-08P,
204372-82P,
182985-67P,
44056-54P,gregalvo
36393-76P,
47677-69P,BenDoh
150964-12P,SalimElkhou
107283-79P,alinelernerLLC
78961-60P,VanessaDidyk 
131642-20P,PaulYacoubian
110044-81P,O_Alex_Ramirez
192903-22P,
58902-67P,
273776-59P,
210890-71P,martinrand
161138-35P,neilbergquist 
205822-54P,
246784-33P,jfrytx
41409-64P,nanea
102011-68P,DrChrisPierson
238157-47P,pualhinz
188894-71P,John_c_lunn
122917-78P,Ashenfelter
121029-13P,arlogilbert
112733-29P,SeabeeCEO
56280-61P,GaryMittman
211215-61P,
125379-01P,ThePBXGuy
201485-53P,
244297-45P,teddywoodward
203302-36P,
172889-56P,jfaz
102219-04P,KevinEdwardLong
196221-25P,
84394-09P,ktfolsom
41325-76P,
91377-64P,
165689-29P,
37008-46P,lawrencecoburn
127586-98P,HowellJustin
75730-87P,BradCordovaAI
204267-07P,edenfull
228986-02P,
108827-38P,kjameslubin
68551-12P,
193179-43P,CatchKristen
52545-97P,jlamba
116594-20P,SECowell
,
32454-46P,
228362-32P,
41018-68P,GregKingOsprey
134368-57P,laurenedunford
244303-30P,DMZilla
161304-85P,berkbirand
163786-51P,
166597-57P,wsmitchell
84817-00P,AndreaCoravos
242714-62P,
223734-25P,CKlemming
171890-65P,
202350-88P,
120562-39P,galka_max
195338-17P,
75019-15P,chrisswenor
178995-25P,fahimulhaq
195314-59P,
235719-64P,HarmanSN
204053-14P,TheLatestLuke
231346-18P,peterjbyrnes
60891-85P,
49745-89P,maxversace
35613-64P,jkretch
106160-86P,seandohertyjr
211319-74P,
41205-79P,
16594-57P,
225811-09P,SonarBrad
241173-37P,OpenAdvisor
244820-44P,toddcowens
195125-50P,Himansh14706798
144792-01P,
144191-98P,thomashesse
47606-50P,
216087-94P,BenDavid00786093
57864-25P,
39579-04P,gangeshganesan
109447-66P,
110041-48P,
233205-22P,MelaineRyan
128561-23P,stewmcgarth
127500-94P,
104421-34P,
40495-87P,mcutler
225465-31P,
40606-93P,
,
224266-33P,
95422-42P,michaelchasen
225273-70P,alexathallow
148487-32P,TonyTranNYC
178886-62P,dchhugani
224957-80P,edenchen
192055-33P,shantanugangal
46752-58P,semerda
227173-78P,Gs1Sharma
166383-46P,SaraNaseri
280081-81P,
190835-83P,HelaineKnapp
149646-79P,d_gilling
131346-73P,LizPYoung
38864-98P,jonsidd
201405-97P,JPatBrennan
192015-82P,yuchenping
249114-43P,
185750-92P,Armored_Jewels
228390-04P,
78174-64P,varunkhona
237593-62P,arjunmeta
222507-73P,semels
109175-14P,hungtrv
215513-29P,wh33lhouse
40244-77P,ijablokov
248707-90P,nikolatod3
115364-53P,briancosgray
248153-41P,joshwget
118733-86P,chri_hartmann
224554-51P,
154490-14P,
18087-49P,
56120-59P,Dmvaltix
106555-06P,emaxerrno
224433-64P,davidbarkerceo
128956-60P,abilmes
33557-59P,
241788-25P,benjaryu
104060-08P,
92881-27P,
67179-16P,bartolah
263208-97P,
112330-63P,donovan_doug
192179-98P,joepercoco
244971-55P,
66840-85P,thomasschiavone
167672-26P,crash_universe
61206-76P,saketsaurabh
100469-53P,ankit042
50829-58P,blairsilverberg
120521-17P,drichardson1976
211416-04P,
197008-30P,
109070-56P,
99637-21P,
168627-61P,omristern
245395-99P,
74230-03P,morgantdav
173867-41P,
13962-43P,
224407-45P,
157386-07P,jessatoh
212307-22P,melfellay
148490-11P,
64859-95P,
50345-92P,AdityaKothadiya
56843-65P,ranjanready
103884-31P,
96981-40P,PamCEO
256925-71P,
213691-06P,BrianJBoroff
88552-99P,bobbymarhamat
237612-07P,RobertLKruse
188817-31P,matt__schwartz
238103-29P,
69565-96P,
100321-84P,S_Ghatge
85164-49P,raggarwa
202278-34P, 
195652-36P,MrOmerDavidi
171474-31P,
210941-74P,chris_herd
189777-97P,davidlkf
197700-85P,koullick
141795-46P,edwardlando
45206-83P,
192099-61P,
172894-24P,comet_ai
135429-13P,marlantes
59948-29P,vijaykganesan
107047-18P,mikewior
220524-22P,
168183-46P,Wcoaxum
35367-22P,shamir_k
256518-37P,evan_vandenberg
42503-95P,Narodny
194171-68P,
129320-92P,
55514-17P,achandrasekher
216820-00P,ashishnagar
100655-74P,
208716-76P,
204446-98P,ShaneBigelow_
234261-82P,KirtiShenoy 
198170-92P,taurnchitra
43457-14P,sharamfm
189494-38P,
202750-39P,
200184-76P,
231327-37P,nishantmodak
42786-46P,polybot
200072-44P,
169334-47P,KentaroKwamori
127357-66P,CharHu
174148-12P,
284073-13P,vinayakxr
51554-08P, 
90793-27P,berman66
170412-67P,dmitry_alexin
200298-16P,estebancastano
192773-80P,SCHutchins
54978-58P,MichelFeaster
57652-75P,jarahk
192595-51P,felix2feng
175515-76P,davitb 
38903-68P,jesselipson
145210-69P,IeeePresident
250497-73P,
237447-10P,
176757-49P,AshleyRose_ATX
188818-12P,
194256-01P,
198251-56P,arunsrinivasan_
241937-83P,
167612-05P,
240916-15P,alxfal
270119-17P,
42156-37P,knarf55
166385-17P,analisagoodin
146376-73P,locktrust
245326-96P,SaarOren
208761-49P,michaelvillar
206020-36P,ScoirGerry
206474-68P,TigranP76430557
